transcript	ss_distance_to_3end
Chr2L-1793__XBXL10_1g7751__eif5b.L__XBmRNA14599__XM_018247099.2__after_last_exon	-1839
Chr2L-387__XBXL10_1g7778__nipa1.L__XBmRNA14649__NM_001095784.1__after_last_exon	-116
Chr2L-1715__XBXL10_1g7885__ndfip2.L__XBmRNA14878__NM_001093925.1__last_exon	-512
Chr2L-550__XBXL10_1g7921__tdrd3.L__XBmRNA14972__NM_001091305.1__last_exon	-188
Chr2L-1445__XBXL10_1g7944__LOC108708519__XBmRNA15025__XM_018247311.2__after_last_exon__uncertain	-634
Chr2L-1037__XBXL10_1g7983__LOC108707545__XBmRNA15092__XM_041582482.1__after_last_exon	-2305
Chr2L-1951__XBXL10_1g7983__LOC108707545__XBmRNA15092__XM_041582482.1__after_last_exon	-389
Chr2L-444__XBXL10_1g8053__myl6.L__XBmRNA15216__NM_001094104.1__last_exon	-403
Chr2L-741__XBXL10_1g8106__myo1a.L__XBmRNA15338__NM_001091430.1__last_exon	-1789,-1695,-1545,-1476,-1389,-1314,-1179,-1072,-939,-789,-661
Chr2L-1211__XBXL10_1g8582__LOC108708767__XBmRNA16196__XM_041582734.1__last_exon	-438
Chr2L-1597__XBXL10_1g8644__trim25l.L__XBmRNA16265__NM_001091413.2__last_exon	-140
Chr2L-179__XBXL10_1g6382__LOC108707924__XBmRNA12006__XM_018246036.2__last_exon	-238
Chr2L-193__XBXL10_1g6592__fkbp6.L__XBmRNA12340__XM_018245003.2__after_last_exon	-646
Chr2L-1752__XBXL10_1g6592__fkbp6.L__XBmRNA12340__XM_018245003.2__last_exon	-236
Chr2L-452__XBXL10_1g6632__apoo.L__XBmRNA12436__NM_001091240.1__last_exon	-165
Chr2L-529__XBXL10_1g6647__map7d2.L__XBmRNA12465__XM_041581802.1__after_last_exon	-2297
Chr2L-1958__XBXL10_1g6655__smpx.L__XBmRNA12481__NM_001086252.1__last_exon	-192
Chr2L-95__XBXL10_1g6747__pimreg.L__XBmRNA12649__NM_001197071.1__last_exon	-1424
Chr2L-178__XBXL10_1g7160__rap1a.L__XBmRNA13432__NM_001096755.1__after_last_exon	-721
Chr2L-2249__XBXL10_1g6161__bcl9.L__XBmRNA11516__NM_001091421.1__last_exon	-1997,-1739
Chr2L-1246__XBXL10_1g6161__bcl9.L__XBmRNA11516__NM_001091421.1__last_exon	-1502,-1244
Chr2L-838__XBXL10_1g7351__luzp1.L__XBmRNA13838__XM_041582175.1__last_exon	-762
Chr2L-2203__XBXL10_1g7371__kiaa1522.L__XBmRNA13874__XM_018246789.2__last_exon	-1259
Chr2L-1710__XBXL10_1g7371__kiaa1522.L__XBmRNA13874__XM_018246789.2__last_exon	-686
Chr2S-84__XBXL10_1g10559__ndfip2.S__XBmRNA19755__XM_018248151.2__last_exon	-1328
Chr2S-580__XBXL10_1g10592__tdrd3.S__XBmRNA19868__XM_018249917.2__last_exon	-243
Chr2S-1639__XBXL10_1g10605__LOC108709785__XBmRNA19903__XM_018249924.2__after_last_exon__uncertain	-1480
Chr2S-1840__XBXL10_1g10605__LOC108709785__XBmRNA19903__XM_018249924.2__after_last_exon__uncertain	-1026
Chr2S-2032__XBXL10_1g10650__LOC108709808__XBmRNA20002__XM_018249978.2__last_exon	-2200
Chr2S-23__XBXL10_1g10832__hnrnpa1.S__XBmRNA20374__NM_001087220.1__last_exon	-331
Chr2S-267__XBXL10_1g11124__clns1a.S__XBmRNA20898__NM_001088297.1__after_last_exon	-305
Chr2S-828__XBXL10_1g11158__picalm.S__XBmRNA20972__XM_018250391.2__after_last_exon	-2471
Chr2S-938__XBXL10_1g9126__synj1.S__XBmRNA16992__XM_041583409.1__after_last_exon	-7302
Chr2S-497__XBXL10_1g9145__smim11a.S__XBmRNA17033__XM_018248894.2__last_exon	-144
Chr2S-1544__XBXL10_1g9233__b3gat1l.S__XBmRNA17237__XM_018248975.1__last_exon	-303
Chr2S-1653__XBXL10_1g9276__cox17.S__XBmRNA17330__NM_001093850.2__after_last_exon__uncertain	-733
Chr2S-295__XBXL10_1g9276__cox17.S__XBmRNA17330__NM_001093850.2__last_exon	-182
Chr2S-940__XBXL10_1g9303__LOC108709306__XBmRNA17384__XM_018249028.2__after_last_exon	-942
Chr2S-516__XBXL10_1g9633__tspan7.S__XBmRNA17945__XM_018249228.2__last_exon	-980
Chr2S-412__XBXL10_1g9678__anks1a.S__XBmRNA18042__NM_001091517.1__last_exon	-1481
Chr2S-1181__XBXL10_1g9690__mybph.S__XBmRNA18085__NM_001089180.1__last_exon	-118
Chr2S-1043__XBXL10_1g9765__strip1.S__XBmRNA18266__NM_001127875.1__last_exon	-542,-337
Chr2S-1744__XBXL10_1g9765__strip1.S__XBmRNA18266__NM_001127875.1__after_last_exon	-1405,-1200
Chr2S-424__XBXL10_1g9765__strip1.S__XBmRNA18266__NM_001127875.1__after_last_exon	-2545,-2340
Chr2S-660__XBXL10_1g9938__kdf1.S__XBmRNA18562__NM_001127734.1__last_exon	-749
Chr2S-1745__XBXL10_1g9955__ythdf2.S__XBmRNA18590__NM_001091271.1__after_last_exon	-1372
Chr2S-594__XBXL10_1g9967__ctps1.S__XBmRNA18615__NM_001094750.1__last_exon	-1745
Chr2S-1328__XBXL10_1g10049__sfpq.S__XBmRNA18782__XM_041583986.1__last_exon	-68
Chr2S-315__XBXL10_1g10134__luzp1.S__XBmRNA18942__XM_041583170.1__last_exon	-655
Chr2S-959__XBXL10_1g10274__LOC108709642__XBmRNA19214__XM_018249669.2__last_exon	-226
Chr2S-1855__XBXL10_1g10279__rmc1.S__XBmRNA19222__XM_041584117.1__after_last_exon	-354
Chr2S-1161__XBXL10_1g10323__ube2g1.S__XBmRNA19287__NM_001087337.1__last_exon	-154
Chr2S-123__XBXL10_1g10323__ube2g1.S__XBmRNA19287__NM_001087337.1__last_exon	-639
Chr2S-241__XBXL10_1g9068__liph.S__XBmRNA16880__NM_001094386.1__after_last_exon	-1024
Chr3L-108__XBXL10_1g13059__rbpms2.L__XBmRNA24752__XM_041585175.1__last_exon	-798
Chr3L-1357__XBXL10_1g13059__rbpms2.L__XBmRNA24752__XM_041585175.1__last_exon	-616
Chr3L-304__XBXL10_1g13255__lmnb3.L__XBmRNA25132__XM_018250795.2__last_exon	-3030
Chr3L-1415__XBXL10_1g13255__lmnb3.L__XBmRNA25132__XM_018250795.2__last_exon	-1165
Chr3L-969__XBXL10_1g13542__ankrd39.L__XBmRNA25737__NM_001096860.1__last_exon	-604
Chr3L-1586__XBXL10_1g13579__zmiz2.L__XBmRNA25815__XM_041585168.1__after_last_exon__uncertain	-1641
Chr3L-333__XBXL10_1g13656__XB5867546.L__XBmRNA25938__XM_018253486.2__last_exon	-390
Chr3L-751__XBXL10_1g13656__XB5867546.L__XBmRNA25938__XM_018253486.2__last_exon	-238
Chr3L-912__XBXL10_1g13796__adam9.L__XBmRNA26219__NM_001085604.1__after_last_exon	-502
Chr3L-1082__XBXL10_1g14151__LOC108711699__XBmRNA26685__XM_018253669.2__last_exon	-117
Chr3L-245__XBXL10_1g14153__tyk2.L__XBmRNA26689__NM_001092194.1__last_exon	-814
Chr3L-915__XBXL10_1g14255__trmt1.L__XBmRNA26892__NM_001127754.1__after_last_exon	-41
Chr3L-128__XBXL10_1g11800__LOC108704571__XBmRNA22064__XM_041585967.1__last_exon	-1786,-1586,-1380
Chr3L-2195__XBXL10_1g14552__LOC108711761__XBmRNA27282__XM_018253790.2__last_exon	-167
Chr3L-571__XBXL10_1g14920__ybx2.L__XBmRNA27739__NM_001087805.1__last_exon	-188
Chr3L-552__XBXL10_1g11941__atox1.L__XBmRNA22296__XM_018251945.2__last_exon	-244
Chr3L-1036__XBXL10_1g11442__cdpf1.L__XBmRNA21471__XM_041585845.1__last_exon	-361
Chr3L-431__XBXL10_1g12251__ndfip1.L__XBmRNA22907__XM_018250992.2__after_last_exon	-2790
Chr3L-520__XBXL10_1g12251__ndfip1.L__XBmRNA22907__XM_018250992.2__last_exon	-346
Chr3L-354__XBXL10_1g12335__atp6v0e1.L__XBmRNA23056__NM_001093517.1__last_exon	-543
Chr3L-796__XBXL10_1g12335__atp6v0e1.L__XBmRNA23056__NM_001093517.1__last_exon	-310
Chr3L-1167__XBXL10_1g12335__atp6v0e1.L__XBmRNA23056__NM_001093517.1__last_exon	-222
Chr3L-860__XBXL10_1g12450__ascl1.L__XBmRNA23286__NM_001085778.1__last_exon	-916
Chr3L-766__XBXL10_1g12611__phlda1.L__XBmRNA23602__XM_041584780.1__last_exon	-1383
Chr3L-338__XBXL10_1g12884__klhdc10.L__XBmRNA24349__NM_001095008.1__last_exon	-2886,-2218
Chr3L-755__XBXL10_1g12891__tspan33.L__XBmRNA24374__XM_041586604.1__after_last_exon	-4233
Chr3L-329__XBXL10_1g12902__tnpo3.L__XBmRNA24409__XM_018252806.2__last_exon	-720
Chr3L-830__XBXL10_1g11354__golt1b.L__XBmRNA21321__XM_041585776.1__last_exon	-671
Chr3L-627__XBXL10_1g11354__golt1b.L__XBmRNA21321__XM_041585776.1__last_exon	-428
Chr3L-252__XBXL10_1g13002__nptn.L__XBmRNA24627__NM_001089013.1__last_exon	-1203
Chr3L-1276__XBXL10_1g13044__znf609.L__XBmRNA24718__XM_018252950.2__after_last_exon	-4053
Chr3S-490__XBXL10_1g15179__atox1.S__XBmRNA28292__XM_018254899.2__last_exon	-191
Chr3S-20__XBXL10_1g17176__calr.S__XBmRNA31841__NM_001086627.1__last_exon	-408
Chr3S-463__XBXL10_1g17200__tnpo2.S__XBmRNA31889__NM_001094716.1__after_last_exon	-1643
Chr3S-923__XBXL10_1g17200__tnpo2.S__XBmRNA31889__NM_001094716.1__last_exon	-1525
Chr3S-1617__XBXL10_1g17564__ybx2.S__XBmRNA32348__NM_001087698.1__after_last_exon	-674
Chr3S-415__XBXL10_1g17564__ybx2.S__XBmRNA32348__NM_001087698.1__after_last_exon	-188
Chr3S-699__XBXL10_1g14967__stk38l.S__XBmRNA27854__NM_001091259.1__after_last_exon	-3575
Chr3S-1348__XBXL10_1g14967__stk38l.S__XBmRNA27854__NM_001091259.1__after_last_exon	-728
Chr3S-357__XBXL10_1g14972__arfgap3.S__XBmRNA27860__NM_001086858.1__last_exon	-1207
Chr3S-43__XBXL10_1g15336__npm2.S__XBmRNA28658__XM_018255050.2__last_exon	-66
Chr3S-1688__XBXL10_1g15381__golga7.S__XBmRNA28729__XM_018254357.2__after_last_exon	-1637
Chr3S-240__XBXL10_1g15381__golga7.S__XBmRNA28729__XM_018254357.2__last_exon	-1055
Chr3S-234__XBXL10_1g15493__dusp11.S__XBmRNA28947__XM_018255204.2__after_last_exon	-2932
Chr3S-587__XBXL10_1g15493__dusp11.S__XBmRNA28947__XM_018255204.2__after_last_exon	-462
Chr3S-687__XBXL10_1g15521__paqr5.S__XBmRNA29005__XM_041588178.1__after_last_exon	-534
Chr3S-692__XBXL10_1g15538__zwilch.S__XBmRNA29039__NM_001091490.1__last_exon	-722
Chr3S-1443__XBXL10_1g15538__zwilch.S__XBmRNA29039__NM_001091490.1__last_exon	-597
Chr3S-200__XBXL10_1g15701__cdc42se2.S__XBmRNA29331__NM_001171718.1__last_exon	-2454
Chr3S-1371__XBXL10_1g15701__cdc42se2.S__XBmRNA29331__NM_001171718.1__last_exon	-1701
Chr3S-641__XBXL10_1g15701__cdc42se2.S__XBmRNA29331__NM_001171718.1__last_exon	-663
Chr3S-773__XBXL10_1g15701__cdc42se2.S__XBmRNA29331__NM_001171718.1__last_exon	-542
Chr3S-798__XBXL10_1g15081__erc1.S__XBmRNA28101__XM_018254843.2__after_last_exon	-7852
Chr3S-550__XBXL10_1g15082__rad52.S__XBmRNA28108__NM_001096116.1__after_last_exon	-493
Chr3S-1240__XBXL10_1g15898__cox5a.S__XBmRNA29681__NM_001091923.1__after_last_exon	-256
Chr3S-64__XBXL10_1g15898__cox5a.S__XBmRNA29681__NM_001091923.1__last_exon	-173
Chr3S-474__XBXL10_1g15962__hmgcl.S__XBmRNA29827__NM_001091683.1__after_last_exon	-515
Chr3S-1645__XBXL10_1g15962__hmgcl.S__XBmRNA29827__NM_001091683.1__last_exon	-264
Chr3S-1211__XBXL10_1g16012__tmem209.S__XBmRNA29950__NM_001092170.1__after_last_exon__uncertain	-1465
Chr3S-617__XBXL10_1g16012__tmem209.S__XBmRNA29950__NM_001092170.1__after_last_exon	-493
Chr3S-61__XBXL10_1g16076__gnai1.S__XBmRNA30105__NM_001090896.1__last_exon	-1458
Chr3S-1032__XBXL10_1g16076__gnai1.S__XBmRNA30105__NM_001090896.1__last_exon	-1083
Chr3S-557__XBXL10_1g16137__szl.S__XBmRNA30240__NM_001088279.1__last_exon	-220
Chr3S-1579__XBXL10_1g16237__lgr5.S__XBmRNA30477__XM_041588604.1__last_exon	-3086
Chr3S-1427__XBXL10_1g16257__LOC108713157__XBmRNA30525__XM_018255970.2__after_last_exon	-3410
Chr3S-695__XBXL10_1g16257__LOC108713157__XBmRNA30525__XM_018255970.2__last_exon	-1249
Chr3S-538__XBXL10_1g16257__LOC108713157__XBmRNA30525__XM_018255970.2__last_exon	-613
Chr4L-103__XBXL10_1g19396__ccdc18.L__XBmRNA35856__XM_018256389.2__last_exon	-216
Chr4L-537__XBXL10_1g19454__prrc2c.L__XBmRNA35953__XM_018258620.2__after_last_exon	-1905
Chr4L-992__XBXL10_1g19564__tcf20.L__XBmRNA36199__XM_041590645.1__after_last_exon__uncertain	-1366
Chr4L-431__XBXL10_1g19564__tcf20.L__XBmRNA36199__XM_041590645.1__after_last_exon	-1041
Chr4L-530__XBXL10_1g19564__tcf20.L__XBmRNA36199__XM_041590645.1__after_last_exon	-814
Chr4L-723__XBXL10_1g17629__c11orf58.L__XBmRNA32457__XM_041589667.1__after_last_exon	-1696
Chr4L-250__XBXL10_1g17629__c11orf58.L__XBmRNA32457__XM_041589667.1__last_exon	-50
Chr4L-1838__XBXL10_1g17844__celf1.L__XBmRNA32962__NM_001090727.1__after_last_exon	-301
Chr4L-159__XBXL10_1g19734__tptep2-csnk1e.L__XBmRNA36519__NM_001090759.1__last_exon	-1258
Chr4L-1419__XBXL10_1g19734__tptep2-csnk1e.L__XBmRNA36519__NM_001090759.1__last_exon	-1131
Chr4L-288__XBXL10_1g19743__triobp.L__XBmRNA36534__XM_041589333.1__after_last_exon	-3730
Chr4L-1749__XBXL10_1g19743__triobp.L__XBmRNA36534__XM_041589333.1__after_last_exon	-1181
Chr4L-1779__XBXL10_1g19743__triobp.L__XBmRNA36534__XM_041589333.1__after_last_exon	-1034
Chr4L-712__XBXL10_1g19743__triobp.L__XBmRNA36534__XM_041589333.1__last_exon	-515
Chr4L-433__XBXL10_1g19836__rbm6.L__XBmRNA36694__XM_041590766.1__last_exon	-437,-353,-285,-235
Chr4L-2217__XBXL10_1g19851__zmynd10.L__XBmRNA36731__XM_018256979.2__after_last_exon__uncertain	-1306
Chr4L-1483__XBXL10_1g19851__zmynd10.L__XBmRNA36731__XM_018256979.2__after_last_exon	-829
Chr4L-658__XBXL10_1g17653__LOC108713446__XBmRNA32512__XM_041589697.1__after_last_exon	-4003
Chr4L-334__XBXL10_1g18178__hras.L__XBmRNA33492__NM_001090809.1__after_last_exon	-2202
Chr4L-2279__XBXL10_1g18178__hras.L__XBmRNA33492__NM_001090809.1__after_last_exon__uncertain	-720
Chr4L-708__XBXL10_1g18178__hras.L__XBmRNA33492__NM_001090809.1__after_last_exon	-524
Chr4L-227__XBXL10_1g18566__atp6v0d1.L__XBmRNA34183__NM_001086731.2__after_last_exon	-1991
Chr4L-830__XBXL10_1g18744__nfat5.L__XBmRNA34568__XM_018257944.2__after_last_exon	-7680
Chr4L-1874__XBXL10_1g18744__nfat5.L__XBmRNA34568__XM_018257944.2__last_exon	-1588
Chr4L-171__XBXL10_1g18834__ss18l2.L__XBmRNA34724__NM_001171722.1__last_exon	-662
Chr4L-367__XBXL10_1g18896__plekhg4.L__XBmRNA34829__XM_018256785.2__last_exon	-493
Chr4L-481__XBXL10_1g18900__znrf1.L__XBmRNA34833__XM_018258064.2__last_exon	-2248
Chr4L-682__XBXL10_1g18934__csnk2a2.L__XBmRNA34890__NM_001091640.1__last_exon	-1432
Chr4L-670__XBXL10_1g18934__csnk2a2.L__XBmRNA34890__NM_001091640.1__last_exon	-1317
Chr4L-717__XBXL10_1g17728__trim44.L__XBmRNA32667__XM_018257322.2__after_last_exon	-2368
Chr4L-683__XBXL10_1g19273__LOC108714333__XBmRNA35625__XM_018258454.2__last_exon	-1788
Chr4L-2211__XBXL10_1g19273__LOC108714333__XBmRNA35625__XM_018258454.2__last_exon	-734
Chr4L-1275__XBXL10_1g19362__tdrd5.L__XBmRNA35795__NM_001097130.1__after_last_exon	-914
