gene_id	median_tl_by_palseq	tag_count
chr1-141	27	235
chr1-1166	29	20
chr1-166	28	221
chr1-1127	39	21
chr1-443	37	85
chr1-872	23	32
chr1-1003	34.5	26
chr1-1331	15.5	20
chr1-1383	29	15
chr1-1774	48	10
chr1-1775	13.5	10
chr1-896	35	31
chr1-19	49	981
chr1-60	41	405
chr1-806	17	38
chr1-805	80	37
chr1-425	35	124
chr1-1669	34	11
chr1-1776	56.5	10
chr1-428	131.5	86
chr1-182	36	198
chr1-574	46.5	60
chr1-338	38.5	110
chr1-1332	47.5	16
chr1-547	30	63
chr1-236	43	158
chr1-618	27	54
chr1-1004	29.5	26
chr1-897	32	31
chr1-241	33	157
chr1-1671	54	11
chr1-1777	28	13
chr1-462	29	83
chr1-1167	36	20
chr1-1333	34	16
chr1-1438	29.5	14
chr1-611	33	55
chr1-920	23	30
chr1-1672	41	11
chr1-349	30	105
chr1-163	26.5	212
chr1-705	21	45
chr1-1384	51	15
chr1-1128	39	21
chr1-656	142	49
chr1-898	31	31
chr1-355	32	104
chr1-1334	27.5	16
chr1-1578	33.5	12
chr1-607	36.5	56
chr1-988	54	27
chr1-950	87	31
chr1-116	43.5	264
chr1-860	56	33
chr1-438	40.5	86
chr1-233	34.5	160
chr1-371	43	101
chr1-989	27	27
chr1-638	158	51
chr1-728	43	43
chr1-444	45	85
chr1-303	28	120
chr1-205	26	175
chr1-1439	44	14
chr1-1287	29	17
chr1-1579	125	12
chr1-1005	45	26
chr1-1506	63	13
chr1-217	23	168
chr1-1580	20	12
chr1-445	18	85
chr1-55	29	456
chr1-1581	61	12
chr1-1385	60	15
chr1-1335	42.5	12
chr1-745	52	41
chr1-1208	38	19
chr1-66	14	376
chr1-7	26	1743
chr1-126	32	250
chr1-401	37	94
chr1-112	34	268
chr1-1582	0	13
chr1-304	85.5	118
chr1-596	137.5	58
chr1-372	33.5	102
chr1-252	24.5	146
chr1-429	58	89
chr1-1042	69	24
chr1-1386	30	15
chr1-36	31	633
chr1-199	34	179
chr1-390	38.5	96
chr1-35	33	645
chr1-951	60	29
chr1-834	63	35
chr1-507	40	71
chr1-515	31	69
chr1-952	19	29
chr1-757	27	40
chr1-693	48	46
chr1-1778	54.5	10
chr1-1673	31	11
chr1-93	36	305
chr1-1168	35	20
chr1-1440	14	14
chr1-1250	38	18
chr1-1441	17.5	14
chr1-1442	34	14
chr1-1674	64	11
chr1-188	32	187
chr1-146	33	232
chr1-1675	28	11
chr1-921	56.5	30
chr1-1043	23.5	24
chr1-215	47	169
chr1-276	36.5	134
chr1-277	34	133
chr1-1676	76	11
chr1-544	34	64
chr1-1251	35.5	18
chr1-1583	36	12
chr1-1677	40	11
chr1-313	31	118
chr1-1209	77	19
chr1-382	16	99
chr1-649	26	50
chr1-508	27.5	76
chr1-650	30	50
chr1-1779	61	10
chr1-201	36	178
chr1-1678	28	11
chr1-1006	15	23
chr1-472	33	79
chr1-142	52	235
chr1-953	38	30
chr1-33	38	651
chr1-816	20.5	36
chr1-177	41	204
chr1-1443	46	14
chr1-283	37	129
chr1-1387	52	19
chr1-922	34	30
chr1-746	29	51
chr1-747	40	41
chr1-1507	181	13
chr1-1252	31	18
chr1-588	36	59
chr1-144	71.5	234
chr1-1099	32	22
chr1-729	19	43
chr1-411	33	91
chr1-463	33	81
chr1-657	38	49
chr1-453	67	83
chr1-1044	28	24
chr1-1508	46	13
chr1-1007	42	26
chr1-899	31	31
chr1-26	48	761
chr1-122	77	227
chr1-229	41	162
chr1-548	33	71
chr1-1100	32	22
chr1-597	58.5	66
chr1-218	73	167
chr1-1253	32.5	18
chr1-1254	34	18
chr1-923	36	30
chr1-1024	47.5	30
chr1-196	60	181
chr1-330	68	112
chr1-1336	33.5	16
chr1-40	66	613
chr1-853	28	35
chr1-1076	26	23
chr1-524	45.5	74
chr1-1289	30	17
chr1-900	62	31
chr1-807	47	37
chr1-415	50	91
chr1-286	34	127
chr1-458	33.5	82
chr1-373	75	101
chr1-1337	58	16
chr1-296	77	123
chr1-561	42	95
chr1-1101	61.5	22
chr1-873	39	32
chr1-269	30	135
chr1-1045	28	24
chr1-1102	45	22
chr1-331	35	112
chr1-1509	44	15
chr1-1445	49	14
chr1-791	20.5	38
chr1-476	36	77
chr1-1510	42	13
chr1-1210	52	15
chr1-1679	62	11
chr1-1899	14.5	10
chr1-1680	89	11
chr1-412	27	91
chr1-339	49.5	110
chr1-694	70.5	46
chr1-1511	42	13
chr1-695	82.5	46
chr1-990	36	27
chr1-316	36	121
chr1-1046	97	24
chr1-808	45	37
chr1-901	35	31
chr1-143	35	235
chr1-1901	17	11
chr1-1290	54	17
chr1-778	81	40
chr1-1782	56	10
chr1-817	26	37
chr1-334	36	111
chr1-172	19	208
chr1-1388	16	15
chr1-1255	47.5	18
chr1-1338	34	16
chr1-730	36	40
chr1-608	126	56
chr1-459	61	82
chr1-1681	78	11
chr1-516	40	69
chr1-1783	29.5	10
chr1-1784	62	10
chr1-1025	49	25
chr1-668	44.5	34
chr1-72	27	380
chr1-454	35	96
chr1-128	52	248
chr1-1389	197	15
chr1-706	62	45
chr1-818	65.5	36
chr1-21	17	898
chr1-305	62.5	120
chr1-178	40.5	198
chr1-1291	67	19
chr1-696	30	46
chr1-1446	37.5	14
chr1-216	71	169
chr1-137	39	237
chr1-327	19	113
chr1-562	32	61
chr1-575	40	60
chr1-1390	196	15
chr1-819	26	36
chr1-323	31	114
chr1-148	38	231
chr1-297	30	123
chr1-464	26	81
chr1-1129	44	21
chr1-1292	49	17
chr1-1584	71	12
chr1-1682	102	13
chr1-1585	33.5	12
chr1-208	43	174
chr1-861	24	33
chr1-792	27	38
chr1-2077	61	13
chr1-1683	31	11
chr1-1786	1	10
chr1-1447	23	14
chr1-1785	60	10
chr1-1512	37	13
chr1-563	42	61
chr1-1293	33	17
chr1-1586	54	10
chr1-835	14	35
chr1-669	35.5	48
chr1-1684	24	11
chr1-1211	58	19
chr1-1587	20.5	12
chr1-626	29.5	48
chr1-366	39	103
chr1-1685	30	11
chr1-651	46.5	50
chr1-758	35	40
chr1-1103	37	22
chr1-1391	48	15
chr1-658	39	49
chr1-1588	52	12
chr1-1589	27	12
chr1-447	22	87
chr1-759	29	40
chr1-350	42.5	106
chr1-1448	33	14
chr1-1392	61	15
chr1-1026	116	25
chr1-1449	27.5	14
chr1-707	43	45
chr1-1787	72.5	10
chr1-1590	20	12
chr1-416	36	90
chr1-1686	38	13
chr1-1450	20.5	14
chr1-1104	31	22
chr1-760	19.5	40
chr1-854	20	33
chr1-1169	26.5	20
chr1-509	26	71
chr1-306	62.5	120
chr1-1687	16	11
chr1-517	65	69
chr1-343	58	115
chr1-28	25	695
chr1-1591	87	12
chr1-1130	46	21
chr1-924	31.5	38
chr1-1788	41	13
chr1-1393	17	15
chr1-1688	41	11
chr1-1170	14	20
chr1-1171	38.5	20
chr1-1451	47.5	14
chr1-1027	32	25
chr1-363	37	108
chr1-1789	33.5	10
chr1-1689	40	11
chr1-809	60	35
chr1-539	39	70
chr1-954	34	29
chr1-1256	42	21
chr1-1131	16	21
chr1-925	29	19
chr1-1790	26	10
chr1-1078	16	23
chr1-1592	39	12
chr1-1513	61	13
chr1-1690	34	11
chr1-179	60	199
chr1-374	34	101
chr1-487	55	75
chr1-328	28	113
chr1-731	26	43
chr1-247	188	149
chr1-793	35.5	38
chr1-955	32	29
chr1-1105	32	22
chr1-288	24	122
chr1-794	99	38
chr1-1172	77.5	20
chr1-902	41	31
chr1-639	21	52
chr1-1791	50.5	10
chr1-87	38	317
chr1-1339	16	16
chr1-1792	23.5	10
chr1-1594	38	12
chr1-1595	22.5	12
chr1-1793	24.5	10
chr1-903	39	31
chr1-1794	33	10
chr1-194	40	182
chr1-123	39	254
chr1-1294	51	17
chr1-1047	58	24
chr1-1028	17	25
chr1-956	32	29
chr1-448	19.5	84
chr1-1048	36	24
chr1-1173	50	20
chr1-1514	27	13
chr1-1295	33	17
chr1-1296	15	17
chr1-1452	21.5	14
chr1-1692	27	11
chr1-926	52.5	30
chr1-1257	20	18
chr1-1079	35	23
chr1-65	38	387
chr1-1297	18	17
chr1-820	64	36
chr1-393	29	95
chr1-402	34.5	94
chr1-1298	28	17
chr1-150	20	227
chr1-1693	12	11
chr1-1174	27	20
chr1-1175	26.5	26
chr1-31	29	660
chr1-1694	50	11
chr1-1395	38	15
chr1-534	37	78
chr1-670	44.5	48
chr1-874	57	31
chr1-795	29.5	38
chr1-279	38	132
chr1-1596	38	12
chr1-576	22	60
chr1-991	29	27
chr1-232	38	161
chr1-1695	48	11
chr1-1515	17	13
chr1-717	27.5	44
chr1-449	18	84
chr1-836	33	35
chr1-748	35	41
chr1-1516	22	13
chr1-1212	20	19
chr1-796	198	38
chr1-797	28	38
chr1-1132	58	21
chr1-525	24.5	68
chr1-417	17.5	90
chr1-1517	116	13
chr1-1453	32	14
chr1-481	41	115
chr1-1598	21	12
chr1-1697	40	11
chr1-957	35	29
chr1-1080	18	23
chr1-927	40	30
chr1-1029	26	25
chr1-186	31	192
chr1-837	43	35
chr1-1213	20	19
chr1-1599	55.5	12
chr1-332	40.5	112
chr1-875	43.5	32
chr1-1795	61	10
chr1-24	30	811
chr1-73	34	352
chr1-1396	40	15
chr1-779	17	39
chr1-1106	51.5	22
chr1-904	61	31
chr1-117	41	260
chr1-518	34	69
chr1-1600	25	12
chr1-195	37	182
chr1-1008	63.5	26
chr1-164	40	211
chr1-1340	31.5	22
chr1-1798	19	10
chr1-928	21	30
chr1-1799	16	10
chr1-1518	60	13
chr1-1107	62	22
chr1-455	31	83
chr1-1454	129	14
chr1-1601	36	12
chr1-632	38.5	52
chr1-929	29	30
chr1-383	47	98
chr1-708	47	45
chr1-1397	39	15
chr1-838	59	35
chr1-1800	41	10
chr1-386	31	97
chr1-1049	27.5	24
chr1-53	51	459
chr1-1801	80	10
chr1-1519	39	13
chr1-1299	25	17
chr1-450	28	84
chr1-589	31	59
chr1-564	28.5	62
chr1-1050	32.5	24
chr1-732	34	43
chr1-1455	30.5	14
chr1-289	32	131
chr1-798	23	38
chr1-905	105	31
chr1-1602	187.5	12
chr1-958	35	29
chr1-23	32	824
chr1-930	61.5	30
chr1-263	18	139
chr1-619	61	55
chr1-733	32	43
chr1-387	37	92
chr1-482	43	79
chr1-973	40.5	28
chr1-1108	33.5	22
chr1-1341	25.5	16
chr1-274	33	134
chr1-1456	29	14
chr1-202	40.5	178
chr1-718	193	49
chr1-253	35	146
chr1-1109	61.5	22
chr1-780	30	39
chr1-1520	41	13
chr1-1110	43	22
chr1-468	40	80
chr1-1342	32	16
chr1-265	32	137
chr1-280	91	131
chr1-1081	30	23
chr1-1300	41	17
chr1-906	32	31
chr1-640	39	51
chr1-1698	53	11
chr1-601	17	75
chr1-1457	18.5	14
chr1-821	24	36
chr1-612	30	55
chr1-1258	31.5	18
chr1-1699	19	11
chr1-1343	29.5	16
chr1-761	31	40
chr1-1802	16	10
chr1-1521	32	13
chr1-227	27	163
chr1-406	36	93
chr1-1803	10	10
chr1-418	6	99
chr1-839	71	35
chr1-1522	49	15
chr1-1925	65	14
chr1-324	33	115
chr1-781	44	39
chr1-307	17	120
chr1-1458	24.5	14
chr1-598	7	59
chr1-1459	36	14
chr1-1051	50	25
chr1-1804	76	10
chr1-1460	22	14
chr1-526	46.5	68
chr1-577	32	59
chr1-394	27	96
chr1-992	52	27
chr1-855	30	34
chr1-367	36	102
chr1-1301	0	18
chr1-408	28	92
chr1-488	38	75
chr1-368	66.5	102
chr1-176	52.5	206
chr1-57	36	440
chr1-98	39	298
chr1-822	23	36
chr1-565	33	61
chr1-351	63	105
chr1-1523	68	13
chr1-29	45	681
chr1-1524	89	13
chr1-840	25	37
chr1-1805	60.5	10
chr1-475	49	78
chr1-609	26	56
chr1-1214	44	19
chr1-782	59	39
chr1-578	32.5	60
chr1-1603	21	12
chr1-545	36	64
chr1-1700	14	11
chr1-1806	85	10
chr1-262	31	140
chr1-159	38	217
chr1-115	43	206
chr1-17	76	1002
chr1-1461	48	14
chr1-1526	35	13
chr1-1215	64	19
chr1-1302	43	17
chr1-1604	50	12
chr1-1701	104	11
chr1-1808	41	10
chr1-697	29	46
chr1-1462	23.5	14
chr1-762	33	40
chr1-1527	40	13
chr1-734	41	43
chr1-1303	133	17
chr1-876	47	32
chr1-409	38	92
chr1-633	43	52
chr1-841	33	35
chr1-1259	26	18
chr1-931	33	30
chr1-1344	39	16
chr1-1606	120.5	12
chr1-535	69.5	66
chr1-300	44	121
chr1-1216	103	19
chr1-1702	77	11
chr1-103	33	285
chr1-504	43	72
chr1-1528	44	13
chr1-719	22	44
chr1-1345	113.5	16
chr1-505	25.5	72
chr1-932	29.5	30
chr1-151	18	228
chr1-1529	67	13
chr1-419	30	90
chr1-91	44	311
chr1-959	62.5	30
chr1-1111	49	22
chr1-1304	35	17
chr1-877	55.5	32
chr1-1809	58.5	10
chr1-1133	36	21
chr1-206	17	175
chr1-497	33	73
chr1-46	22	557
chr1-652	50.5	50
chr1-1607	40	12
chr1-139	38	237
chr1-653	28.5	50
chr1-1703	12	11
chr1-1112	25	22
chr1-1704	48	11
chr1-558	35	62
chr1-344	54	107
chr1-590	37	59
chr1-407	68	93
chr1-783	85	39
chr1-671	57.5	48
chr1-974	46	28
chr1-933	29	30
chr1-1705	30	10
chr1-1932	33	11
chr1-325	28	114
chr1-38	27	623
chr1-566	70	61
chr1-99	26	297
chr1-1530	41	15
chr1-1134	33	12
chr1-1810	43	10
chr1-1346	53.5	16
chr1-200	31	179
chr1-567	40	61
chr1-1531	37.5	16
chr1-308	31	120
chr1-37	40	627
chr1-1135	49	21
chr1-52	28	474
chr1-842	31	35
chr1-1812	9.5	12
chr1-1811	87	10
chr1-222	49	165
chr1-510	138	71
chr1-317	48	117
chr1-1706	30	11
chr1-1347	29	19
chr1-165	37.5	210
chr1-1608	71.5	12
chr1-763	54	40
chr1-14	50	1062
chr1-1260	37.5	18
chr1-559	53.5	62
chr1-1009	47.5	26
chr1-1217	37	23
chr1-1609	56.5	12
chr1-540	25	65
chr1-709	36	45
chr1-376	35.5	100
chr1-1176	33.5	20
chr1-1533	27	13
chr1-64	29	391
chr1-960	19	29
chr1-549	35	63
chr1-1113	37	34
chr1-15	38	1026
chr1-465	44	81
chr1-1136	39	21
chr1-810	38	37
chr1-856	33	35
chr1-1813	33	10
chr1-602	30	57
chr1-513	149	70
chr1-1463	53	14
chr1-211	31	173
chr1-352	91	105
chr1-108	33	272
chr1-1305	46	17
chr1-420	46	90
chr1-878	32.5	32
chr1-1218	62	20
chr1-74	34	350
chr1-39	33	622
chr1-1052	59	24
chr1-106	54	281
chr1-78	35.5	338
chr1-879	37	28
chr1-3	21	4015
chr1-1534	39	13
chr1-469	38.5	80
chr1-1177	36	20
chr1-620	74	54
chr1-1610	21.5	12
chr1-591	29	59
chr1-1350	34	16
chr1-1814	135	10
chr1-395	58	95
chr1-1082	144	23
chr1-1611	86.5	12
chr1-1815	67.5	10
chr1-579	40.5	60
chr1-580	36.5	60
chr1-498	44	75
chr1-1262	34	18
chr1-823	50	36
chr1-1114	31.5	22
chr1-225	54	170
chr1-251	36	147
chr1-1010	42.5	26
chr1-1398	50	15
chr1-1816	52	10
chr1-1535	79	13
chr1-1399	54	15
chr1-320	46	115
chr1-268	41.5	136
chr1-1178	53	20
chr1-1612	18	12
chr1-270	28	135
chr1-1011	38	26
chr1-430	49.5	88
chr1-1613	106	12
chr1-1137	35	21
chr1-1053	44	24
chr1-1708	41	11
chr1-51	42	500
chr1-1536	26	13
chr1-710	41	45
chr1-1115	159	22
chr1-843	21	35
chr1-1709	39	11
chr1-248	35	149
chr1-77	38	346
chr1-1537	27	13
chr1-711	30	45
chr1-353	46	105
chr1-170	37	207
chr1-599	52	58
chr1-1179	16.5	20
chr1-1400	69	15
chr1-735	43	43
chr1-907	1	36
chr1-993	50	27
chr1-1464	37.5	14
chr1-1710	209	11
chr1-1306	41	17
chr1-92	84	310
chr1-1180	40	20
chr1-356	47.5	104
chr1-284	72	129
chr1-173	34	206
chr1-335	35	111
chr1-491	40	74
chr1-909	47	31
chr1-680	83	47
chr1-527	41	68
chr1-1054	37	24
chr1-799	46.5	38
chr1-4	30	2613
chr1-934	38	30
chr1-1401	18	15
chr1-1614	65	13
chr1-1615	37	12
chr1-473	22	79
chr1-528	24.5	52
chr1-1402	44	15
chr1-1817	29	10
chr1-1616	54	12
chr1-1465	64.5	14
chr1-1538	25	15
chr1-187	53.5	192
chr1-641	87	51
chr1-257	35	141
chr1-698	37	46
chr1-70	35	357
chr1-1138	32	21
chr1-249	34	149
chr1-994	42	27
chr1-1219	46	19
chr1-460	49.5	82
chr1-634	35.5	52
chr1-278	23	134
chr1-736	60	43
chr1-1351	35	16
chr1-800	44	38
chr1-801	70.5	38
chr1-101	59	289
chr1-811	42	36
chr1-357	53	104
chr1-749	45	41
chr1-1711	38	11
chr1-910	55	31
chr1-1466	81	14
chr1-499	38	73
chr1-1403	49	16
chr1-737	129	43
chr1-314	21.5	118
chr1-1139	17	21
chr1-568	46	60
chr1-133	37	255
chr1-541	48	65
chr1-421	38	90
chr1-581	36	60
chr1-403	16	95
chr1-1539	18	13
chr1-720	39	44
chr1-699	31.5	46
chr1-975	53.5	28
chr1-961	41	29
chr1-1818	20.5	10
chr1-451	36.5	84
chr1-1404	37	15
chr1-13	66	1293
chr1-234	43	159
chr1-1012	54.5	26
chr1-1263	56.5	18
chr1-1307	38	17
chr1-738	35	42
chr1-1468	34	14
chr1-1713	28	11
chr1-550	30	63
chr1-212	51.5	170
chr1-1469	45.5	14
chr1-1030	27	25
chr1-1182	44.5	20
chr1-1470	32	14
chr1-1308	52	18
chr1-721	31	44
chr1-569	16	61
chr1-228	50	163
chr1-1352	29.5	16
chr1-1140	30	21
chr1-1264	29	18
chr1-1141	57	22
chr1-880	38.5	32
chr1-298	40	123
chr1-812	47	37
chr1-764	56	40
chr1-1819	33.5	10
chr1-1471	43	14
chr1-167	24	209
chr1-1083	42	23
chr1-1714	14	11
chr1-862	49	33
chr1-995	48	27
chr1-642	27	51
chr1-1716	24	11
chr1-935	24.5	30
chr1-1617	44	11
chr1-1820	30.5	10
chr1-996	57	27
chr1-1717	123	11
chr1-976	47.5	28
chr1-49	40	510
chr1-1220	64	19
chr1-1821	37.5	10
