gene_id	diff_by_palseq	count_min
chr1-52	10	31
chr1-222	56.5	74
chr1-510	-68	71
chr1-317	21	42
chr1-165	25.5	80
chr1-1608	-54.5	11
chr1-763	-19	40
chr1-14	4	479
chr1-559	-37	12
chr1-540	29	48
chr1-64	19	141
chr1-549	10.5	34
chr1-15	-15	54
chr1-465	37	39
chr1-856	59	11
chr1-602	52	17
chr1-513	-89	25
chr1-1463	-26	11
chr1-211	27	50
chr1-352	-47	50
chr1-878	28	12
chr1-1218	16.5	20
chr1-39	-10.5	30
chr1-106	-23.5	118
chr1-78	-2.5	43
chr1-3	32	488
chr1-591	-9.5	22
chr1-1814	-53	10
chr1-395	-19	71
chr1-1082	-91.5	16
chr1-225	49	162
chr1-1816	-1.5	10
chr1-320	5	31
chr1-268	28.5	80
chr1-1178	5	13
chr1-430	-19.5	30
chr1-1708	55	11
chr1-51	-19.5	28
chr1-1115	-141.5	10
chr1-1709	42.5	11
chr1-248	18	19
chr1-77	8	72
chr1-711	41	10
chr1-353	43.5	46
chr1-170	-13	37
chr1-599	2	21
chr1-907	53	35
chr1-993	13	15
chr1-92	-36.5	290
chr1-356	-8.5	37
chr1-680	36.5	47
chr1-4	43	2258
chr1-187	31.5	181
chr1-641	-43	51
chr1-257	15	39
chr1-460	-18.5	19
chr1-634	45.5	14
chr1-736	-2	43
chr1-801	21.5	38
chr1-101	-23	91
chr1-357	4	15
chr1-749	4	28
chr1-314	37.5	39
chr1-1139	1	17
chr1-133	18	46
chr1-541	-7	12
chr1-421	9	16
chr1-581	96	27
chr1-403	35	60
chr1-975	70.5	28
chr1-451	12	14
chr1-13	-21	686
chr1-234	-2	32
chr1-212	41.5	49
chr1-569	34	39
chr1-228	-20	88
chr1-167	19	24
chr1-862	-20	15
chr1-996	-27	19
chr1-49	3	141
chr1-881	-19.5	31
chr1-1031	42	17
chr1-739	105.5	18
chr1-844	74	24
chr1-50	36	128
chr1-138	53	127
chr1-643	47	47
chr1-240	5	11
chr1-845	82	15
chr1-214	120.5	24
chr1-846	29.5	28
chr1-1826	-3	10
chr1-741	39.5	40
chr1-391	25.5	96
chr1-489	111	34
chr1-384	15.5	21
chr1-847	-66	17
chr1-1	15	2132
chr1-1624	63.5	11
chr1-290	20	19
chr1-237	7	83
chr1-192	3.5	66
chr1-864	-24	16
chr1-293	-19	66
chr1-683	-19.5	16
chr1-197	122	31
chr1-80	24	90
chr1-750	32.5	24
chr1-8	-16	81
chr1-42	-13	23
chr1-309	42	38
chr1-1117	103.5	22
chr1-85	28.5	190
chr1-223	-7.5	102
chr1-603	-54	57
chr1-319	24.5	47
chr1-431	9	27
chr1-18	39	449
chr1-104	-16	157
chr1-865	24.5	10
chr1-287	8.5	46
chr1-636	63	37
chr1-347	22	37
chr1-154	-11.5	38
chr1-102	29.5	134
chr1-477	-60	17
chr1-358	8	38
chr1-644	3	30
chr1-238	6	15
chr1-742	-4.5	24
chr1-89	8.5	37
chr1-329	79	47
chr1-118	-15	74
chr1-94	12	11
chr1-1187	-22.5	20
chr1-1477	-0.5	14
chr1-1087	17	23
chr1-1188	-34	10
chr1-752	17	12
chr1-120	112.5	12
chr1-622	-35.5	54
chr1-109	-4.5	26
chr1-1729	26	13
chr1-1190	-45	10
chr1-613	-19	21
chr1-388	4.5	11
chr1-377	-10.5	25
chr1-500	-35	31
chr1-281	-43	17
chr1-1014	-49.5	12
chr1-134	-6	25
chr1-1315	-16	13
chr1-1059	-75.5	24
chr1-519	-4.5	22
chr1-1270	58	16
chr1-784	48.5	39
chr1-914	35	15
chr1-315	11	41
chr1-1271	-18	16
chr1-209	7.5	28
chr1-673	-13	21
chr1-713	24	15
chr1-1843	17	10
chr1-1273	4.5	18
chr1-825	-27	19
chr1-75	20.5	100
chr1-551	158	25
chr1-492	1	46
chr1-470	-85	45
chr1-434	96	37
chr1-47	-15.5	44
chr1-254	8	67
chr1-646	-26.5	22
chr1-291	-13	22
chr1-135	-11.5	70
chr1-56	3	58
chr1-1152	24	21
chr1-1121	32	22
chr1-6	-5	235
chr1-12	-0.5	32
chr1-686	59.5	10
chr1-45	-17	429
chr1-662	3	14
chr1-654	-10	28
chr1-242	61	28
chr1-58	-17.5	54
chr1-68	-15.5	10
chr1-435	157.5	18
chr1-160	32.5	148
chr1-506	46	25
chr1-943	-5.5	30
chr1-1196	69	20
chr1-271	-6	24
chr1-183	41.5	18
chr1-158	22	35
chr1-485	43	41
chr1-446	30	55
chr1-701	-81.5	46
chr1-979	90	10
chr1-1198	-1	20
chr1-532	100.5	20
chr1-1487	32.5	13
chr1-2646	-6	12
chr1-426	31.5	38
chr1-299	21.5	65
chr1-1229	164	12
chr1-814	64	34
chr1-964	2	12
chr1-687	8.5	21
chr1-226	17.5	164
chr1-333	-19	16
chr1-1064	-20.5	17
chr1-86	-23	15
chr1-827	98	16
chr1-1426	8	10
chr1-32	70.5	278
chr1-1092	-39	14
chr1-743	5	12
chr1-145	38.5	71
chr1-83	-0.5	36
chr1-63	8	79
chr1-663	-38.5	12
chr1-494	40.5	62
chr1-1858	37	10
chr1-584	7	15
chr1-478	-24	15
chr1-965	-5	13
chr1-340	85	66
chr1-966	64	14
chr1-888	8	25
chr1-768	28.5	14
chr1-868	25	15
chr2-364	-45.5	10
chr2-890	-8	19
chr2-1634	19	10
chr2-349	39	16
chr2-59	-9	103
chr2-1298	37	10
chr2-1526	-15	11
chr2-1133	-80	17
chr2-1426	100.5	12
chr2-600	48	40
chr2-584	19.5	28
chr2-57	81	97
chr2-81	102	103
chr2-293	-15	12
chr2-1364	24	13
chr2-95	-18.5	68
chr2-115	10	16
chr2-28	16	74
chr2-34	-20	42
chr2-227	-6	69
chr2-275	33	47
chr2-187	22	57
chr2-914	1	15
chr2-146	3.5	84
chr2-38	-10	112
chr2-218	0.5	70
chr2-650	-17.5	16
chr2-4	41	867
chr2-235	32	60
chr2-628	-14	35
chr2-585	-16	42
chr2-39	-16	16
chr2-25	-51	67
chr2-311	53.5	14
chr2-610	-23.5	10
chr2-808	-2.5	12
chr2-74	18	143
chr2-1089	75.5	11
chr2-23	0.5	12
chr2-651	95	11
chr2-1434	98	12
chr2-283	11	48
chr2-1435	28	10
chr2-1530	59.5	11
chr2-407	-10	24
chr2-85	10.5	52
chr2-125	-35	15
chr2-810	-31	13
chr2-891	100.5	23
chr2-184	30	80
chr2-639	-15	21
chr2-154	32.5	60
chr2-500	20	52
chr2-641	-34	37
chr2-19	72	21
chr2-477	20.5	56
chr2-94	54	19
chr2-892	-7	11
chr2-529	14.5	22
chr2-245	34	55
chr2-841	37	20
chr2-157	22	75
chr2-955	-15.5	22
chr2-559	25.5	45
chr2-9	31	478
chr2-99	-6	255
chr2-601	26.5	22
chr2-393	-134.5	67
chr2-918	-78.5	16
chr2-93	32.5	176
chr2-714	66	13
chr2-866	15	13
chr2-517	18	16
chr2-772	42.5	26
chr2-695	6	15
chr2-560	6	44
chr2-97	-9	41
chr2-1016	-4	20
chr2-1315	4.5	14
chr2-787	-16	17
chr2-206	40	96
chr2-366	-5	77
chr2-189	12.5	74
chr2-715	1	21
chr2-504	-28	19
chr2-399	38	23
chr2-183	-4.5	38
chr2-752	-18.5	30
chr2-172	-3.5	138
chr2-342	20	32
chr2-82	-12	113
chr2-666	39	11
chr2-137	13	39
chr2-256	78.5	64
chr2-69	19	29
chr2-488	-3.5	52
chr2-440	8	12
chr2-479	47.5	22
chr2-552	-21	15
chr2-208	16	16
chr2-257	3.5	39
chr2-358	-10	15
chr2-241	2.5	22
chr2-613	10	15
chr2-129	-4.5	110
chr2-22	2.5	542
chr2-5	-2	596
chr2-176	14.5	96
chr2-89	5	138
chr2-299	29	44
chr2-307	-5	19
chr2-225	5	53
chr2-1671	-69	11
chr2-102	21	58
chr2-958	1	22
chr2-215	-12.5	100
chr2-205	-8.5	96
chr2-359	33.5	22
chr2-575	71	25
chr2-1325	86	14
chr2-210	-7	15
chr2-106	-5	120
chr2-561	67	40
chr2-1676	-2.5	10
chr2-134	10.5	77
chr2-982	84.5	12
chr2-301	-14	57
chr2-429	-9	60
chr2-8	161.5	116
chr2-221	103	55
chr2-754	50	14
chr2-983	23	21
chr2-86	-37	62
chr2-47	7	241
chr2-1201	-26	12
chr2-344	-10	83
chr2-506	-42.5	38
chr2-270	-25	32
chr2-87	-16	66
chr2-159	-34	48
chr2-755	5.5	12
chr2-1549	36	11
chr2-553	24.5	20
chr2-519	-61	13
chr2-204	49.5	93
chr2-1328	48.5	11
chr2-775	78.5	11
chr2-756	60.5	27
chr2-409	49	25
chr2-118	23	39
chr2-387	50	29
chr2-1052	154	19
chr2-507	3	11
chr2-53	8	11
chr2-44	27	232
chr2-1	54	1324
chr2-430	-26	14
chr2-120	21	213
chr2-167	22.5	18
chr2-776	-24	27
chr2-75	61.5	84
chr2-121	-12.5	30
chr2-222	-6	31
chr2-431	-124	23
chr2-577	-23	18
chr2-173	6	21
chr2-18	-15	41
chr2-67	9	15
chr2-56	29	348
chr2-71	38	194
chr2-100	-8	43
chr2-207	44.5	25
chr2-1055	9	12
chr2-302	2	44
chr2-107	-11.5	18
chr2-149	-27	11
chr2-510	-26	50
chr2-655	116	16
chr2-1258	-2	15
chr2-109	33	151
chr2-252	27.5	43
chr2-63	-31	12
chr2-388	9	72
chr2-65	-1	293
chr2-568	-75.5	19
chr2-480	2.5	28
chr2-253	82	24
chr2-1389	47	13
chr2-113	3	22
chr2-594	47.5	36
chr2-615	12	39
chr2-1262	71	15
chr2-6	85	532
chr2-1205	40.5	15
chr2-313	90	15
chr2-1058	26	19
chr2-400	4	22
chr2-331	102.5	12
chr2-850	5	10
chr2-48	-5	91
chr2-40	11	73
chr2-314	35.5	72
chr2-177	19	13
chr2-42	-32	95
chr2-511	-10	23
chr2-929	19	15
chr2-52	3	201
chr2-503	125.5	10
chr2-147	-8	42
chr2-265	40	41
chr2-108	99.5	42
chr2-616	-0.5	26
chr2-1332	118	10
chr2-452	-10.5	28
chr2-1333	50.5	14
chr2-686	119.5	34
chr2-72	78	105
chr2-303	99	35
chr2-60	-72	147
chr2-79	19	277
chr2-135	-10.5	62
chr2-51	-8	18
chr2-687	21.5	10
chr2-376	63	14
chr2-84	-109	286
chr2-410	29	19
chr2-964	28	16
chr2-350	50	47
chr2-1465	72.5	12
chr2-469	-17.5	57
chr2-852	9	13
chr2-29	40	39
chr2-186	45.5	34
chr2-161	-21	28
chr2-3	0	236
chr2-148	15.5	16
chr2-338	35.5	70
chr2-534	-8	48
chr2-12	8	293
chr2-180	7	69
chr2-30	-17	97
chr2-139	43	75
chr2-520	14	42
chr2-736	1.5	22
chr2-688	49	24
chr2-689	-12	13
chr2-794	27.5	27
chr2-497	28.5	32
chr2-1025	35	16
chr2-228	6	23
chr2-1395	60	11
chr2-66	-20	32
chr2-267	-7	76
chr2-690	27.5	24
chr2-20	-5	49
chr2-239	115	33
chr2-334	16	19
chr2-1698	42.5	10
chr2-351	41.5	10
chr2-606	10.5	16
chr2-1028	-1	20
chr2-720	25	12
chr2-128	15.5	22
chr2-68	39	153
chr2-188	74.5	124
chr2-234	-71	18
chr2-150	11	76
chr2-373	-5.5	30
chr2-124	2	76
chr2-7	8	13
chr2-472	30	14
chr2-932	13	23
chr2-308	101.5	39
chr2-442	-122	55
chr2-226	25	25
chr2-989	90	21
chr2-1576	-6	11
chr2-15	7	67
chr2-875	-47	14
chr2-413	-14	25
chr2-116	-16	18
chr2-61	22	15
chr2-402	-29	17
chr2-309	9	19
chr2-490	-10	55
chr2-461	2	25
chr2-214	9	47
chr2-198	0	92
chr2-294	41	49
chr2-1397	47	10
chr2-1104	28	18
chr2-1160	-14	12
chr2-535	73	43
chr2-691	12	24
chr2-522	36	25
chr2-796	34	28
chr2-237	-10	25
chr2-361	-2	11
chr2-142	10.5	50
chr2-36	12	187
chr2-162	33	10
chr2-339	49	67
chr2-55	5	65
chr2-822	63	19
chr2-671	32	17
chr2-462	-8	24
chr2-491	85	37
chr2-499	95.5	20
chr2-644	84	37
chr2-285	-34	104
chr2-1479	-27	12
chr2-621	-5	27
chr2-122	10.5	88
chr2-934	-7	17
chr2-1402	-4	11
chr2-379	14	49
chr2-143	-3	28
chr2-826	27	12
chr2-463	-10.5	16
chr2-464	-20.5	28
chr2-140	51	38
chr2-272	6	45
chr2-394	-49.5	70
chr2-304	-0.5	22
chr2-224	85	60
chr2-322	75	29
chr2-570	98	15
chr2-17	2	292
chr2-1032	56	19
chr2-90	-15	190
chr2-1715	45.5	10
chr2-969	39	11
chr2-1406	-15.5	13
chr2-484	24	12
chr2-579	4.5	40
chr2-268	19.5	38
chr2-374	27	33
chr2-828	12	27
chr2-273	6	37
chr2-248	4.5	14
chr2-127	1.5	15
chr2-1283	41	15
chr2-329	-25	12
chr2-163	82.5	51
chr2-879	21	12
chr2-590	18	25
chr2-623	18	17
chr2-1488	42.5	12
chr2-27	24	279
chr2-905	24	24
chr2-212	15.5	17
chr2-77	22	134
chr2-88	17	141
chr2-492	-12	19
chr2-425	-0.5	56
chr2-324	15.5	10
chr2-996	1	21
chr2-199	-28	13
chr2-249	-7.5	38
chr2-1352	61.5	11
chr2-800	32.5	28
chr2-153	-1	82
chr2-158	22.5	116
chr2-138	-3	10
chr2-33	-18	115
chr2-58	82	185
chr2-1076	19	12
chr2-1173	78	17
chr2-693	-18.5	14
chr2-254	7.5	44
chr2-857	-23	10
chr2-971	85.5	16
chr2-62	24	180
chr2-881	57	30
chr2-255	-26	12
chr2-1120	29.5	14
chr2-325	-69.5	26
chr2-709	-7.5	16
chr2-80	18	81
chr2-1122	28	18
chr2-168	-21	20
chr2-264	-14.5	56
chr2-495	82	16
chr2-508	65.5	38
chr2-802	-11	10
chr2-453	6	50
chr2-634	29.5	13
chr2-563	-16.5	10
chr2-292	29.5	24
chr2-318	-7.5	36
chr2-133	44.5	102
chr2-145	103	66
chr2-41	39	181
chr2-280	83.5	75
chr2-673	17	23
chr2-319	58	16
chr2-32	50	269
chr2-427	12.5	34
chr2-474	-4	19
chr2-345	24	28
chr2-396	-122	70
chr2-141	6	12
chr2-16	50	335
chr2-764	11	16
chr2-354	3.5	14
chr2-465	4.5	16
chr2-231	68	97
chr2-371	2	26
chr2-112	-20	225
chr2-974	4.5	23
chr2-209	7.5	20
chr2-196	14.5	16
chr2-220	10	39
chr2-92	-33	207
chr2-335	-5.5	12
chr2-583	-14	27
chr2-347	-63	15
chr2-1039	-18	15
chr2-860	159	12
chr2-2	-25	68
chr2-31	2	66
chr2-624	-7.5	10
chr2-1615	26	11
chr2-1509	-172	12
chr2-64	6	14
chr2-1415	30	13
chr2-725	-19	23
chr2-136	-57	144
chr2-101	34.5	100
chr2-455	15	23
chr2-831	-29	10
chr2-1744	82	10
chr2-475	50	27
chr2-363	-4	55
chr2-316	55	46
chr2-1180	39	15
chr2-625	-2.5	24
chr2-291	20.5	40
chr2-46	-26.5	18
chr2-1619	71	11
chr2-269	-14.5	27
chr2-417	-16	23
chr2-10	-19	257
chr2-537	33.5	48
chr2-203	71	12
chr2-11	2	47
chr2-35	11.5	36
chr2-496	3.5	40
chr2-767	56.5	30
chr2-1292	33.5	14
chr2-14	2	178
chr2-1041	59	20
chr2-712	40.5	12
chr2-37	-30.5	289
chr2-527	2	15
chr2-131	34.5	130
chr2-96	29	147
chr2-73	67.5	277
chr2-262	86	38
chr2-391	13	30
chr2-746	3.5	12
chr2-217	20	13
chr2-171	-52.5	59
chr2-557	6	46
chr2-175	20	36
chr2-626	-78	24
chr2-213	-17	56
chr2-104	57	141
chr2-949	46	22
chr2-166	22	23
chr2-54	39	189
chr2-49	27	26
chr3-239	11.5	44
chr3-64	62	109
chr3-401	33	12
chr3-501	111	27
chr3-864	12	15
chr3-1075	38	13
chr3-512	12.5	38
chr3-224	-14.5	27
chr3-121	10	65
chr3-426	42.5	43
chr3-43	101	11
chr3-206	36	41
chr3-610	-100	30
chr3-203	-12.5	58
chr3-210	15	71
chr3-599	47.5	18
chr3-513	-8	12
chr3-186	18	120
chr3-374	-127.5	14
chr3-291	24.5	52
chr3-475	71	30
chr3-427	11	50
chr3-460	-26	13
chr3-144	-26	100
chr3-809	24	20
chr3-484	92.5	14
chr3-7	14	526
chr3-100	11.5	92
chr3-251	-4.5	24
chr3-322	98	54
chr3-268	11	85
chr3-252	70	31
chr3-180	40.5	70
chr3-628	16	18
chr3-568	4.5	34
chr3-127	44	67
chr3-1295	8	10
chr3-1021	35.5	11
chr3-73	4	17
chr3-629	58	29
chr3-276	10.5	66
chr3-128	7	109
chr3-91	5.5	89
chr3-148	-22.5	10
chr3-125	15	56
chr3-56	4	42
chr3-195	-16	15
chr3-630	-48	29
chr3-145	-1	38
chr3-842	96.5	10
chr3-226	75.5	51
chr3-442	71	25
chr3-433	-25	30
chr3-632	102	17
chr3-246	21	27
chr3-559	66	21
chr3-229	29	24
chr3-633	43	14
chr3-407	-26	19
chr3-434	36	15
chr3-329	-40	11
chr3-330	11	14
chr3-1029	4	12
chr3-408	-19	17
chr3-211	-17	11
chr3-309	27	42
chr3-428	25	12
chr3-1031	-2	14
chr3-719	-127.5	24
chr3-493	63.5	23
chr3-536	70.5	26
chr3-572	-23	11
chr3-417	17.5	15
chr3-314	-3	24
chr3-198	-11	21
chr3-1161	-12	12
chr3-44	-21	27
chr3-25	0	171
chr3-778	32.5	13
chr3-1164	35.5	10
chr3-21	8.5	124
chr3-942	11.5	16
chr3-192	9	22
chr3-141	24	75
chr3-122	110	32
chr3-119	11.5	46
chr3-219	6.5	62
chr3-779	64	13
chr3-418	70	27
chr3-301	19	44
chr3-646	82	15
chr3-396	64	33
chr3-411	-56	11
chr3-685	-147	14
chr3-68	18	231
chr3-123	33.5	48
chr3-363	3.5	19
chr3-347	-5	13
chr3-1233	-33.5	11
chr3-79	38	203
chr3-546	32.5	34
chr3-705	22	23
chr3-63	-18.5	35
chr3-12	30.5	34
chr3-875	4	11
chr3-97	10	145
chr3-146	43	18
chr3-212	52	76
chr3-32	38	11
chr3-537	20.5	21
chr3-16	-8	10
chr3-249	-133	92
chr3-115	26.5	18
chr3-706	-100.5	25
chr3-61	34.5	194
chr3-94	77	86
chr3-221	126	65
chr3-84	-9	81
chr3-188	-21.5	23
chr3-648	39	12
chr3-26	-81	125
chr3-58	-9.5	73
chr3-59	1.5	156
chr3-166	111	37
chr3-485	4	22
chr3-436	-8.5	13
chr3-234	-17.5	27
chr3-993	-37.5	12
chr3-289	6	29
chr3-31	10	211
chr3-80	-1	31
chr3-101	59	36
chr3-38	-5	403
chr3-47	24.5	266
chr3-8	-6	136
chr3-1319	-38	10
chr3-332	33	17
chr3-182	-12.5	74
chr3-462	51	11
chr3-323	29.5	22
chr3-402	132	18
chr3-27	8	106
chr3-70	-15	25
chr3-507	79	13
chr3-42	32.5	94
chr3-307	34	19
chr3-286	44.5	32
chr3-108	7	59
chr3-377	-3.5	54
chr3-278	7	29
chr3-104	-20	20
chr3-189	-15	109
chr3-413	-1	51
chr3-109	22	10
chr3-997	-14.5	12
chr3-466	-7	13
chr3-98	-6	113
chr3-74	-9.5	14
chr3-390	-1	31
chr3-952	0	10
chr3-175	15.5	103
chr3-328	-17	11
chr3-1323	44	10
chr3-601	83.5	10
chr3-342	112	18
chr3-269	-19.5	12
chr3-163	-1.5	18
chr3-824	70	15
chr3-277	-2.5	80
chr3-1046	21.5	14
chr3-398	53	28
chr3-603	43	28
chr3-315	15.5	45
chr3-1106	69	10
chr3-651	23	21
chr3-343	-19.5	21
chr3-917	58	17
chr3-726	64	23
chr3-152	19.5	83
chr3-365	37	13
chr3-761	-10	19
chr3-248	-2	16
chr3-187	84	20
chr3-28	-20.5	456
chr3-171	-5	58
chr3-78	-1	152
chr3-95	40	183
chr3-883	138.5	12
chr3-71	8.5	40
chr3-54	-15	333
chr3-617	28	24
chr3-497	3.5	17
chr3-18	2	303
chr3-149	-35	52
chr3-885	183.5	12
chr3-279	75	27
chr3-348	-22.5	12
chr3-160	-10	12
chr3-637	29	19
chr3-260	-32.5	23
chr3-293	44.5	35
chr3-138	40	63
chr3-527	-22.5	34
chr3-242	15	17
chr3-787	-81.5	12
chr3-172	-1	24
chr3-454	13.5	19
chr3-227	-5	28
chr3-213	-8	11
