transcript	ss_distance_to_3end
chr1-2368__ENST00000366913.7__ENSG00000117791.15__MARC2__MARC2-001__last_exon__in_PolyA_DB	-329
chr1-885__ENST00000366835.7__ENSG00000196187.11__TMEM63A__TMEM63A-001__last_exon__in_PolyA_DB	-1397
chr1-1151__ENST00000366835.7__ENSG00000196187.11__TMEM63A__TMEM63A-001__last_exon__in_PolyA_DB	-305
chr1-1642__ENST00000366690.4__ENSG00000168118.11__RAB4A__RAB4A-001__last_exon__in_PolyA_DB	-382
chr1-1194__ENST00000366690.4__ENSG00000168118.11__RAB4A__RAB4A-001__last_exon__in_PolyA_DB	-591
chr1-2639__ENST00000366690.4__ENSG00000168118.11__RAB4A__RAB4A-001__last_exon__in_PolyA_DB	-974
chr1-1196__ENST00000310256.6__ENSG00000173409.13__ARV1__ARV1-001__last_exon__in_PolyA_DB	-454
chr1-1061__ENST00000366632.6__ENSG00000162946.20__DISC1__DISC1-010__after_last_exon	-3991,-3755,-3700,-3597,-3408
chr1-895__ENST00000374561.5__ENSG00000117318.8__ID3__ID3-001__last_exon__in_PolyA_DB	-482
chr1-2651__ENST00000611898.4__ENSG00000116996.9__ZP4__ZP4-201__after_last_exon	-648
chr1-2391__ENST00000348120.6__ENSG00000182901.16__RGS7__RGS7-004__after_last_exon__in_PolyA_DB	-700
chr1-3036__ENST00000336199.9__ENSG00000117020.16__AKT3__AKT3-002__after_last_exon__uncertain	-1188
chr1-868__ENST00000463519.5__ENSG00000171163.15__ZNF692__ZNF692-004__last_exon__in_PolyA_DB	-1287,-1238,-1103,-881,-803,-724,-609,-509
chr1-1667__ENST00000611903.4__ENSG00000117643.14__MAN1C1__MAN1C1-201__last_exon__in_PolyA_DB	-788
chr1-692__ENST00000466284.1__ENSG00000117640.17__MTFR1L__MTFR1L-005__last_exon__in_PolyA_DB	-368
chr1-716__ENST00000474295.5__ENSG00000117640.17__MTFR1L__MTFR1L-002__last_exon__in_PolyA_DB	-1018
chr1-48__ENST00000448923.2__ENSG00000236782.6__RP11-96L14.7__RP11-96L14.7-004__last_exon__in_PolyA_DB	-1078
chr1-1381__ENST00000434391.6__ENSG00000117682.16__DHDDS__DHDDS-002__last_exon	-1531,-1414,-1312,-1197,-1089
chr1-556__ENST00000374163.5__ENSG00000117676.13__RPS6KA1__RPS6KA1-002__last_exon__in_PolyA_DB	-2457,-2419,-2276,-2205,-2116,-2051,-1948,-1817,-1691,-1601,-1442,-1280,-1203,-1085,-947
chr1-775__ENST00000464720.5__ENSG00000186501.14__TMEM222__TMEM222-004__last_exon__in_PolyA_DB	-1282,-1250,-1153,-1022
chr1-538__ENST00000247087.9__ENSG00000126705.13__AHDC1__AHDC1-001__last_exon__in_PolyA_DB	-668
chr1-2049__ENST00000374011.6__ENSG00000126705.13__AHDC1__AHDC1-201__last_exon__in_PolyA_DB	-443
chr1-1286__ENST00000343067.8__ENSG00000159023.19__EPB41__EPB41-201__last_exon__in_PolyA_DB	-3223
chr1-442__ENST00000441402.5__ENSG00000121775.17__TMEM39B__TMEM39B-003__last_exon__in_PolyA_DB	-742,-554,-433
chr1-1577__ENST00000489170.5__ENSG00000160055.19__TMEM234__TMEM234-003__after_last_exon__in_PolyA_DB	-905,-817,-694,-613
chr1-2769__ENST00000461402.5__ENSG00000160055.19__TMEM234__TMEM234-002__last_exon__in_PolyA_DB	-946,-858,-198
chr1-611__ENST00000487874.1__ENSG00000271741.1__RP11-244H3.4__RP11-244H3.4-001__last_exon__in_PolyA_DB	-587
chr1-1886__ENST00000494120.1__ENSG00000116922.14__C1orf109__C1orf109-002__last_exon__in_PolyA_DB	-1749,-1591
chr1-1203__ENST00000491998.5__ENSG00000169598.15__DFFB__DFFB-005__last_exon__in_PolyA_DB	-1923
chr1-36__ENST00000372857.7__ENSG00000090621.13__PABPC4__PABPC4-001__last_exon__in_PolyA_DB	-307
chr1-199__ENST00000495526.5__ENSG00000084072.16__PPIE__PPIE-004__last_exon__in_PolyA_DB	-4499,-4455,-4318,-4236,-4135,-742,-556,-413
chr1-2061__ENST00000475350.5__ENSG00000084072.16__PPIE__PPIE-013__after_last_exon__in_PolyA_DB	-1426,-1382,-1355,-1273,-1172,-1087,-901,-758
chr1-1890__ENST00000372621.8__ENSG00000171793.13__CTPS1__CTPS1-001__last_exon__in_PolyA_DB	-196
chr1-921__ENST00000372621.8__ENSG00000171793.13__CTPS1__CTPS1-001__last_exon__in_PolyA_DB	-904
chr1-1209__ENST00000304979.7__ENSG00000171960.10__PPIH__PPIH-001__last_exon__in_PolyA_DB	-175
chr1-382__ENST00000436427.1__ENSG00000065978.18__YBX1__YBX1-002__last_exon__in_PolyA_DB	-369
chr1-2796__ENST00000583037.5__ENSG00000178922.16__HYI__HYI-202__last_exon__in_PolyA_DB	-309
chr1-1387__ENST00000583037.5__ENSG00000178922.16__HYI__HYI-202__last_exon__in_PolyA_DB	-154
chr1-2256__ENST00000488865.2__ENSG00000187147.17__RNF220__RNF220-016__last_exon__in_PolyA_DB	-337
chr1-1780__ENST00000488865.2__ENSG00000187147.17__RNF220__RNF220-016__after_last_exon__in_PolyA_DB	-471
chr1-1024__ENST00000626177.2__ENSG00000280670.2__CCDC163P__CCDC163P-001__last_exon__in_PolyA_DB	-1236
chr1-296__ENST00000396420.7__ENSG00000085998.13__POMGNT1__POMGNT1-201__last_exon__in_PolyA_DB	-2209,-2081,-1460,-1418,-1359,-1286,-1157,-1031,-966,-921,-785,-675
chr1-873__ENST00000307089.7__ENSG00000117481.10__NSUN4__NSUN4-003__last_exon__in_PolyA_DB	-747,-622
chr1-2686__ENST00000378191.4__ENSG00000196581.10__AJAP1__AJAP1-001__last_exon__in_PolyA_DB	-498
chr1-818__ENST00000072644.5__ENSG00000058799.13__YIPF1__YIPF1-201__last_exon__in_PolyA_DB	-538
chr1-2815__ENST00000371236.6__ENSG00000173406.15__DAB1__DAB1-004__last_exon__in_PolyA_DB	-913
chr1-235__ENST00000489180.6__ENSG00000131697.17__NPHP4__NPHP4-002__after_last_exon__in_PolyA_DB	-2387,-2181,-2043,-1918,-1691,-1504,-1420,-1263,-1177,-1091,-919,-739,-595
chr1-669__ENST00000606498.5__ENSG00000162604.12__TM2D1__TM2D1-012__last_exon__in_PolyA_DB	-305
chr1-2822__ENST00000635023.1__ENSG00000132849.19__PATJ__PATJ-013__after_last_exon__in_PolyA_DB	-3797,-3587,-3470,-3074,-2950,-2778,-2706,-2528,-2417,-2339,-2239,-2042,-1950,-1877,-1784,-1666,-1532,-1448
chr1-2489__ENST00000271002.14__ENSG00000142856.16__ITGB3BP__ITGB3BP-017__after_last_exon__in_PolyA_DB	-732
chr1-2269__ENST00000489099.5__ENSG00000142856.16__ITGB3BP__ITGB3BP-014__last_exon__in_PolyA_DB	-382,-331
chr1-1372__ENST00000482934.1__ENSG00000171735.18__CAMTA1__CAMTA1-012__after_last_exon__in_PolyA_DB	-548
chr1-123__ENST00000370645.8__ENSG00000174021.10__GNG5__GNG5-002__last_exon__in_PolyA_DB	-224
chr1-1695__ENST00000533089.5__ENSG00000069702.10__TGFBR3__TGFBR3-007__last_exon__in_PolyA_DB	-5652,-5593,-5464,-5326,-5258,-5135,-4966,-4818,-4628,-4293,-4140,-3999,-3840,-3786,-3665,-3623,-3515
chr10-1260__ENST00000521006.5__ENSG00000095539.15__SEMA4G__SEMA4G-003__last_exon__in_PolyA_DB	-1127
chr10-1416__ENST00000474125.6__ENSG00000186862.17__PDZD7__PDZD7-004__after_last_exon	-3869,-3281,-3220,-2824,-2626,-2534,-2442,-2370,-1762,-1661
chr10-166__ENST00000474125.6__ENSG00000186862.17__PDZD7__PDZD7-004__last_exon__in_PolyA_DB	-3376,-2788,-2727,-2331,-2133,-2041,-1949,-1877,-1269,-1168
chr10-1417__ENST00000474125.6__ENSG00000186862.17__PDZD7__PDZD7-004__last_exon__in_PolyA_DB	-3241,-2653,-2592,-2196,-1998,-1906,-1814,-1742,-1134,-1033
chr10-115__ENST00000370187.7__ENSG00000166167.17__BTRC__BTRC-001__last_exon__in_PolyA_DB	-333
chr10-518__ENST00000370187.7__ENSG00000166167.17__BTRC__BTRC-001__last_exon__in_PolyA_DB	-1063
chr10-58__ENST00000370187.7__ENSG00000166167.17__BTRC__BTRC-001__last_exon__in_PolyA_DB	-4159
chr10-15__ENST00000370110.5__ENSG00000107833.10__NPM3__NPM3-001__last_exon__in_PolyA_DB	-308
chr10-103__ENST00000369825.5__ENSG00000173915.13__USMG5__USMG5-004__last_exon__in_PolyA_DB	-117
chr10-787__ENST00000633200.1__ENSG00000048740.18__CELF2__CELF2-009__after_last_exon	-1718,-1583,-1424,-1360,-1225
chr10-1186__ENST00000633200.1__ENSG00000048740.18__CELF2__CELF2-009__after_last_exon	-1881,-1746,-1587,-1523,-1388
chr10-1324__ENST00000417956.6__ENSG00000048740.18__CELF2__CELF2-001__last_exon	-6
chr10-985__ENST00000417956.6__ENSG00000048740.18__CELF2__CELF2-001__last_exon__in_PolyA_DB	-1057
chr10-890__ENST00000417956.6__ENSG00000048740.18__CELF2__CELF2-001__last_exon__in_PolyA_DB	-3112
chr10-176__ENST00000369075.7__ENSG00000107651.12__SEC23IP__SEC23IP-001__last_exon__in_PolyA_DB	-388
chr10-953__ENST00000369075.7__ENSG00000107651.12__SEC23IP__SEC23IP-001__last_exon__in_PolyA_DB	-1561
chr10-957__ENST00000497136.6__ENSG00000120008.15__WDR11__WDR11-002__other_exon	-2444,-2337,-2261,-2152,-2027,-1879,-1772,-1657,-1485,-1376,-1313,-1247,-1069,-973,-807,-709
chr10-39__ENST00000369023.7__ENSG00000107672.14__NSMCE4A__NSMCE4A-005__last_exon__in_PolyA_DB	-169
chr10-286__ENST00000368887.7__ENSG00000179988.13__PSTK__PSTK-001__last_exon__in_PolyA_DB	-217
chr10-696__ENST00000466270.5__ENSG00000203791.14__METTL10__METTL10-002__last_exon__in_PolyA_DB	-1026,-809,-550
chr10-1285__ENST00000466270.5__ENSG00000203791.14__METTL10__METTL10-002__last_exon__in_PolyA_DB	-884,-667,-408
chr10-318__ENST00000479896.1__ENSG00000132334.16__PTPRE__PTPRE-005__last_exon__in_PolyA_DB	-946,-869,-734,-608,-441,-305
chr10-1056__ENST00000368644.5__ENSG00000108010.11__GLRX3__GLRX3-002__last_exon__in_PolyA_DB	-263
chr10-409__ENST00000470416.5__ENSG00000175470.18__PPP2R2D__PPP2R2D-007__last_exon__in_PolyA_DB	-1541,-1443,-1277,-1164,-986,-821,-559
chr10-245__ENST00000470416.5__ENSG00000175470.18__PPP2R2D__PPP2R2D-007__last_exon__in_PolyA_DB	-1849,-1751,-1585,-1472,-1294,-1129,-867
chr10-784__ENST00000298622.8__ENSG00000188385.11__JAKMIP3__JAKMIP3-001__after_last_exon__in_PolyA_DB	-3980,-2899,-2502
chr10-459__ENST00000368594.7__ENSG00000068383.18__INPP5A__INPP5A-001__last_exon__in_PolyA_DB	-1444
chr10-990__ENST00000357447.6__ENSG00000151474.20__FRMD4A__FRMD4A-003__last_exon__in_PolyA_DB	-1145
chr10-1081__ENST00000357447.6__ENSG00000151474.20__FRMD4A__FRMD4A-003__last_exon__in_PolyA_DB	-728
chr10-1086__ENST00000469543.5__ENSG00000026025.14__VIM__VIM-003__last_exon__in_PolyA_DB	-364
chr10-1089__ENST00000460652.1__ENSG00000078114.18__NEBL__NEBL-012__last_exon__in_PolyA_DB	-300
chr10-615__ENST00000377072.7__ENSG00000078403.16__MLLT10__MLLT10-001__last_exon__in_PolyA_DB	-1692
chr10-505__ENST00000376603.6__ENSG00000077327.15__SPAG6__SPAG6-201__last_exon__in_PolyA_DB	-149
chr10-233__ENST00000302418.4__ENSG00000170759.10__KIF5B__KIF5B-001__last_exon__in_PolyA_DB	-2502
chr10-487__ENST00000302418.4__ENSG00000170759.10__KIF5B__KIF5B-001__last_exon__in_PolyA_DB	-2252
chr10-1212__ENST00000302418.4__ENSG00000170759.10__KIF5B__KIF5B-001__last_exon__in_PolyA_DB	-378
chr10-373__ENST00000374754.8__ENSG00000108094.14__CUL2__CUL2-007__last_exon__in_PolyA_DB	-2370,-2264,-2181,-2084,-1973,-1810,-1685,-1577,-1517,-1388,-1301,-1148,-1070,-1003,-800,-698,-581
chr10-1180__ENST00000463345.5__ENSG00000165568.17__AKR1E2__AKR1E2-002__last_exon__in_PolyA_DB	-575
chr10-530__ENST00000373944.7__ENSG00000122952.16__ZWINT__ZWINT-009__after_last_exon	-1450
chr10-421__ENST00000373944.7__ENSG00000122952.16__ZWINT__ZWINT-009__last_exon__in_PolyA_DB	-931
chr10-1099__ENST00000373944.7__ENSG00000122952.16__ZWINT__ZWINT-009__last_exon__in_PolyA_DB	-846
chr10-57__ENST00000373944.7__ENSG00000122952.16__ZWINT__ZWINT-009__last_exon__in_PolyA_DB	-741
chr10-479__ENST00000373944.7__ENSG00000122952.16__ZWINT__ZWINT-009__last_exon__in_PolyA_DB	-129
chr10-1313__ENST00000380094.9__ENSG00000134461.15__ANKRD16__ANKRD16-003__after_last_exon__in_PolyA_DB	-1760
chr10-174__ENST00000280772.6__ENSG00000151150.21__ANK3__ANK3-001__last_exon__in_PolyA_DB	-1426
chr10-1584__ENST00000280772.6__ENSG00000151150.21__ANK3__ANK3-001__last_exon__in_PolyA_DB	-546
chr10-490__ENST00000427635.6__ENSG00000148634.15__HERC4__HERC4-010__last_exon__in_PolyA_DB	-2553,-2428,-2368,-2256,-2066,-1893,-1791,-1671,-1572,-1404,-1260,-1093,-1026,-943,-759,-656
chr10-201__ENST00000423381.5__ENSG00000148660.20__CAMK2G__CAMK2G-203__last_exon__in_PolyA_DB	-2005
chr10-1600__ENST00000423381.5__ENSG00000148660.20__CAMK2G__CAMK2G-203__last_exon__in_PolyA_DB	-244
chr10-49__ENST00000435275.5__ENSG00000138326.18__RPS24__RPS24-201__last_exon__in_PolyA_DB	-83
chr10-32__ENST00000356708.11__ENSG00000165629.19__ATP5C1__ATP5C1-001__last_exon__in_PolyA_DB	-143
chr10-1240__ENST00000613758.4__ENSG00000133678.13__TMEM254__TMEM254-202__last_exon__in_PolyA_DB	-1069
chr10-656__ENST00000478361.6__ENSG00000119912.15__IDE__IDE-002__last_exon	-2868,-2739,-2702,-2654,-2469,-2261,-2091,-1968,-1855,-1692,-1599,-1507,-1426,-1322,-1219,-1096,-1013,-889,-744,-599,-488
chr10-256__ENST00000463743.5__ENSG00000138119.16__MYOF__MYOF-006__last_exon__in_PolyA_DB	-1264,-1122,-1022,-831,-721,-573
chr10-327__ENST00000371380.7__ENSG00000138193.15__PLCE1__PLCE1-001__last_exon__in_PolyA_DB	-425
chr10-197__ENST00000492211.5__ENSG00000213390.10__ARHGAP19__ARHGAP19-004__last_exon__in_PolyA_DB	-4588,-4501,-4435,-4243,-4144,-4033,-3954
chr10-1253__ENST00000492211.5__ENSG00000213390.10__ARHGAP19__ARHGAP19-004__last_exon__in_PolyA_DB	-1385,-1298,-1232,-1040,-941,-830,-751
chr11-1559__ENST00000405097.5__ENSG00000137710.14__RDX__RDX-002__last_exon__in_PolyA_DB	-605
chr11-983__ENST00000509359.6__ENSG00000150779.11__TIMM8B__TIMM8B-002__last_exon__in_PolyA_DB	-318
chr11-1572__ENST00000445177.5__ENSG00000160584.15__SIK3__SIK3-002__last_exon__in_PolyA_DB	-217
chr11-544__ENST00000530994.5__ENSG00000019144.17__PHLDB1__PHLDB1-002__last_exon__in_PolyA_DB	-2185,-1890,-1799,-1652,-1535,-1432,-1346
chr11-557__ENST00000620157.4__ENSG00000110367.11__DDX6__DDX6-202__after_last_exon__in_PolyA_DB	-4335
chr11-1107__ENST00000620157.4__ENSG00000110367.11__DDX6__DDX6-202__last_exon__in_PolyA_DB	-994
chr11-197__ENST00000620157.4__ENSG00000110367.11__DDX6__DDX6-202__last_exon__in_PolyA_DB	-732
chr11-433__ENST00000620157.4__ENSG00000110367.11__DDX6__DDX6-202__last_exon__in_PolyA_DB	-188
chr11-174__ENST00000527673.1__ENSG00000118181.10__RPS25__RPS25-001__last_exon__in_PolyA_DB	-47
chr11-391__ENST00000284290.8__ENSG00000154144.12__TBRG1__TBRG1-003__last_exon__in_PolyA_DB	-697,-599,-488,-345
chr11-1588__ENST00000284290.8__ENSG00000154144.12__TBRG1__TBRG1-003__last_exon__in_PolyA_DB	-2973,-2875,-2764,-2621
chr11-511__ENST00000428830.6__ENSG00000149554.12__CHEK1__CHEK1-002__last_exon__in_PolyA_DB	-328
chr11-392__ENST00000637851.1__ENSG00000109832.13__DDX25__DDX25-009__after_last_exon__in_PolyA_DB	-821
chr11-488__ENST00000534532.6__ENSG00000151503.12__NCAPD3__NCAPD3-002__last_exon__in_PolyA_DB	-1623,-1423,-1312,-1129,-962,-822,-744,-669,-608
chr11-1600__ENST00000526026.5__ENSG00000151498.11__ACAD8__ACAD8-009__after_last_exon__in_PolyA_DB	-1146,-1036,-959,-821,-685,-587,-434,-331
chr11-1001__ENST00000636090.1__ENSG00000166689.15__PLEKHA7__PLEKHA7-017__after_last_exon__in_PolyA_DB	-1724
chr11-1639__ENST00000636090.1__ENSG00000166689.15__PLEKHA7__PLEKHA7-017__last_exon__in_PolyA_DB	-286
chr11-460__ENST00000532265.5__ENSG00000129158.10__SERGEF__SERGEF-005__after_last_exon__in_PolyA_DB	-2548
chr11-950__ENST00000584526.1__ENSG00000074319.12__TSG101__TSG101-015__other_exon__in_PolyA_DB	-98
chr11-110__ENST00000298923.11__ENSG00000165970.11__SLC6A5__SLC6A5-002__intron	-3041,-2867,-2725,-2592,-2457,-2353,-2228,-2115,-1983,-1883
chr11-667__ENST00000414822.7__ENSG00000129757.12__CDKN1C__CDKN1C-001__last_exon__in_PolyA_DB	-695
chr11-471__ENST00000414822.7__ENSG00000129757.12__CDKN1C__CDKN1C-001__last_exon__in_PolyA_DB	-316
chr11-73__ENST00000380542.8__ENSG00000205531.12__NAP1L4__NAP1L4-001__last_exon__in_PolyA_DB	-1210
chr11-163__ENST00000531387.5__ENSG00000110619.16__CARS__CARS-003__last_exon__in_PolyA_DB	-2226,-2129,-2030,-1880,-1739,-1650,-1528,-1415,-1286,-1156,-1052,-954,-764,-695,-613,-532,-464,-404,-320
chr11-450__ENST00000530803.5__ENSG00000166199.12__ALKBH3__ALKBH3-002__after_last_exon__in_PolyA_DB	-662,-452,-357
chr11-644__ENST00000616623.4__ENSG00000121671.11__CRY2__CRY2-201__last_exon__in_PolyA_DB	-2331
chr11-123__ENST00000395290.6__ENSG00000149187.17__CELF1__CELF1-201__after_last_exon__in_PolyA_DB	-6166
chr11-1365__ENST00000395290.6__ENSG00000149187.17__CELF1__CELF1-201__last_exon	-5540
chr11-604__ENST00000395290.6__ENSG00000149187.17__CELF1__CELF1-201__last_exon__in_PolyA_DB	-3703
chr11-516__ENST00000395290.6__ENSG00000149187.17__CELF1__CELF1-201__last_exon	-1824
chr11-423__ENST00000534775.1__ENSG00000110536.13__PTPMT1__PTPMT1-004__last_exon__in_PolyA_DB	-348
chr11-791__ENST00000534775.1__ENSG00000110536.13__PTPMT1__PTPMT1-004__last_exon__in_PolyA_DB	-455
chr11-480__ENST00000397594.5__ENSG00000174775.16__HRAS__HRAS-004__last_exon__in_PolyA_DB	-514
chr11-1164__ENST00000528882.5__ENSG00000149115.13__TNKS1BP1__TNKS1BP1-002__after_last_exon__in_PolyA_DB	-3423,-3353,-1997,-331
chr11-38__ENST00000622257.4__ENSG00000211450.9__C11orf31__C11orf31-201__last_exon__in_PolyA_DB	-173
chr11-186__ENST00000337979.8__ENSG00000166900.15__STX3__STX3-001__last_exon__in_PolyA_DB	-1852
chr11-1897__ENST00000537328.5__ENSG00000134825.14__TMEM258__TMEM258-001__last_exon__in_PolyA_DB	-106
chr11-591__ENST00000532276.1__ENSG00000162222.13__TTC9C__TTC9C-005__after_last_exon__in_PolyA_DB	-310
chr11-1014__ENST00000530112.2__ENSG00000185670.7__ZBTB3__ZBTB3-003__last_exon__in_PolyA_DB	-370
chr11-309__ENST00000531944.5__ENSG00000168002.11__POLR2G__POLR2G-003__last_exon__in_PolyA_DB	-440,-389,-323,-251,-217
